time,lat,lon,head,fix,route,stop,next,code,dev,fer
2023-11-01 20:15:15,64.140311667,-21.889766667,263.31,2,5,90000048,90000049,7,0207,5-A
2023-11-01 20:47:07,64.142665000,-21.906300000,114.47,2,5,90000030,90000031,7,0207,5-A
2023-11-01 19:15:48,64.143356667,-21.913783333,139.20,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:47:17,64.142630000,-21.906233333,100.86,2,5,90000030,90000031,3,0207,5-A
2023-11-01 20:15:26,64.140306667,-21.889783333,263.31,2,5,90000048,90000049,6,0207,5-A
2023-11-01 20:15:36,64.140306667,-21.889783333,263.31,2,5,90000048,90000049,6,0207,5-A
2023-11-01 19:15:59,64.143306667,-21.913700000,154.53,2,5,90000295,90000030,3,0207,5-A
2023-11-01 20:15:47,64.140303333,-21.889833333,268.28,2,5,90000048,90000049,3,0207,5-A
2023-11-01 20:47:27,64.142446667,-21.904933333,112.60,2,5,90000030,90000031,6,0207,5-A
2023-11-01 20:47:38,64.142360000,-21.904500000,98.21,2,5,90000030,90000031,6,0207,5-A
2023-11-01 19:16:07,64.143148333,-21.913750000,204.61,2,5,90000295,90000030,7,0207,5-A
2023-11-01 20:47:48,64.142353333,-21.904483333,98.21,2,5,90000030,90000031,6,0207,5-A
2023-11-01 20:15:57,64.140171667,-21.891933333,266.75,2,5,90000048,90000049,6,0207,5-A
2023-11-01 20:16:08,64.140171667,-21.892083333,268.07,2,5,90000048,90000049,2,0207,5-A
2023-11-01 20:16:18,64.140166667,-21.892150000,268.07,2,5,90000048,90000049,6,0207,5-A
